,questions,answers
0,Participant ID,19
1,Age,
2,Gender,Female
3,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.9541666666666667
4,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9708333333333333
5,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',Denise
6,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,Florian
7,video_5_condition_0_Waar komt Florian vandaan?,Amsterdam
8,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,geen ideecomma er werd iets aangekondigd geloof ik
9,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,Florian vond het binnen te druk en Bram zag hem buiten staan en ging erheen
10,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,Het is uitverkocht dus kon hij geen ticket meer kopen
11,video_5_condition_0_Welk spel speelt de groep in deze film?,geen idee hoe het heet maar je draait aan een bierfles en waar de hals heen wijst die persoon moet je kussen
12,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,Hij zei een aantal buurten achter te lopen en hij wilde natuurlijk een kans krijgen om Florian te kussen
13,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,neecomma bij een meisje
14,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,wit misschien
15,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.7458333333333333
16,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.8333333333333336
17,video_1_condition_1_Wat is de naam van deze film?,geen idee
18,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,ja
19,video_1_condition_1_Hoe heet de pizzabezorger?,Rachid
20,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,geen idee
21,video_1_condition_1_Welke kleur kleren heeft de baby?,grijs en paars gestreept
22,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de bak van zijn scooter
23,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby blert
24,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,geen idee
25,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,geloof een ziekenhuis
26,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geiten
27,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.9583333333333336
28,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9875
29,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?,Banaan
30,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,Drenthe
31,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,dat meisjes na de zomervakantie lekkerder worden
32,video_3_condition_0_Hoe heet de hoofdrolspeler?,Daan
33,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,Omdat de jongens Britt belachelijk maken en doen alsof ze haar opvrijen
34,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,hij kust haar uiteindelijk
35,video_3_condition_0_Welke sport speelt het team in deze film?,korfbal
36,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,one of the boys 9of wordt die bedoeld met alle ballen in het hok
37,video_3_condition_0_Welke kleur heeft de bal?,oranje misschien
38,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,soort roze of oranje
39,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,-0.7645833333333333
40,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.8604166666666667
41,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?, zwart
42,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,om de jongen Tom te halen
43,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
44,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,een wit speelgoedautootje
45,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,jongen mag autorijden
46,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar de McDonalds voor een happy meal en milkshake
47,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,happy meal en milkshake
48,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,zoon en vader
