,questions,answers
0,Participant ID,3
1,Age,
2,Gender,Male
3,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.7791666666666667
4,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.86875
5,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?, banaan 
6,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,mallorca
7,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,in de vakantie zijn alle meiden mooier
8,video_3_condition_0_Hoe heet de hoofdrolspeler?,Daan
9,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,Zijn vriendin wordt belaagdperiod
10,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,Hij troost haar en kust haarperiod
11,video_3_condition_0_Welke sport speelt het team in deze film?,korfbal
12,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,ballen in het ballenhokbackslash
13,video_3_condition_0_Welke kleur heeft de bal?,geel
14,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,bruin
15,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.8125
16,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.79375
17,video_1_condition_1_Wat is de naam van deze film?,SLASH
18,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,nee
19,video_1_condition_1_Hoe heet de pizzabezorger?,Rachid
20,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,oranje
21,video_1_condition_1_Welke kleur kleren heeft de baby?,blauw grijs gestreept
22,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de pizzakoffer
23,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby huilt
24,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,Galeria
25,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,SLASH
26,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geiten
27,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.86875
28,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9104166666666667
29,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',SLASH
30,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,SLASH
31,video_5_condition_0_Waar komt Florian vandaan?,Amsterdam
32,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,SLASH
33,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,te druk
34,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,uitverkocht
35,video_5_condition_0_Welk spel speelt de groep in deze film?,zoenen  roulette met bierfles
36,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,Hij wil Florian zoenenperiod
37,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,nee
38,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,groen
39,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,-0.4125
40,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.6875
41,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?, blauw
42,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,Tom halen
43,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
44,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,speelgoedauto
