,questions,answers
0,Participant ID,27
1,Age,
2,Gender,Male
3,video_4_condition_0_In hoeverre was je aandacht gericht op de film?,0.48125
4,video_4_condition_0_In hoeverre was je aandacht gericht op de taak?,0.5520833333333336
5,video_4_condition_0_Wat is de naam van deze film?, geen idee
6,video_4_condition_0_Hoe komt Samual aan geld?,mensen denken dat hij een zwerver is en gooien hem geld toe
7,video_4_condition_0_Wat staat er op het briefje dat Samual bij zich had?,een tekening van een kasteel in de zee vanuit afrika
8,video_4_condition_0_Wat doet Samual met het muntgeld?,probeert te bellen met een telefoon
9,video_4_condition_0_Waarom is Samual in Amsterdam?,hij zoekt zijn dochter hij wordt opa
10,video_4_condition_0_Waar zijn volgens Samual de dromen van de toekomst?,aan de andere kant van de zee
11,video_4_condition_0_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan een meisje van de opvang die naast het bureau zit
12,video_4_condition_0_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter
13,video_4_condition_0_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,met lichaamstaal 
14,video_4_condition_0_Wat staat er op het raam van het kinderdagverblijf geschilderd?,konijn
15,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,-0.22708333333333333
16,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.69375
17,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?,chinese tomatensoep
18,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",fredje toepetje
19,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche
20,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,ze is jarig
21,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,broer en zus
22,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,one happy family
23,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,4
24,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,geen idee
25,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,robert
26,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",ict bedrijfsuitje 5 jarig bestaan 
