,questions,answers
0,Participant ID,10
1,Age,
2,Gender,Male
3,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.81875
4,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.7979166666666667
5,video_1_condition_1_Wat is de naam van deze film?,SLASHweet niet
6,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,geen idee
7,video_1_condition_1_Hoe heet de pizzabezorger?,weet niet
8,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,weet niet
9,video_1_condition_1_Welke kleur kleren heeft de baby?,weet niet
10,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,geen idee
11,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,weet niet
12,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,weet ik niet
13,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,de baby wordt op de straat gelegd
14,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geen idee
15,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.9791666666666664
16,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.98125
17,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
18,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,kan je Tom even halen
19,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
20,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,kleine witte auto
21,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,zitten in de auto
22,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar de McDonalds
23,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,vanille milkshake big mac
24,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,chauffeur is de vader
25,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,Tom stoot de milkshake om 
26,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
27,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,0.6666666666666664
28,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.37916666666666665
29,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',weet niet
30,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,Fabian
31,video_5_condition_1_Waar komt Florian vandaan?,amsterdam
32,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,weet niet
33,video_5_condition_1_Wat is de reden dat Bram en Florian naar buiten gaan?,weet niet
34,video_5_condition_1_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,kaartjes uitverkocht
35,video_5_condition_1_Welk spel speelt de groep in deze film?,fles draaien en kussen
36,video_5_condition_1_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,hij wil Fabian kussen
37,video_5_condition_1_Komt het flesje van Bram uit bij Florian?,nee
38,video_5_condition_1_Wat is de kleur van het etiket op het flesje?,groen
39,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.9958333333333333
40,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9958333333333333
41,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,tomatensoep met veel kip
42,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",aan fred
43,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,sorbet
44,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,zij is jarig
45,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,zij zijn broer en zus
46,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,als een gezellige familie
47,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,twee
48,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,vermoedelijk dementie
49,video_2_condition_0_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,Bram
50,"video_2_condition_0_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",weet niet meer
51,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,-0.6666666666666666
52,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.6729166666666667
53,video_4_condition_1_Wat is de naam van deze film?,geen idee
54,video_4_condition_1_Hoe komt Samual aan geld?,gebedeld
55,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,weet niet
56,video_4_condition_1_Wat doet Samual met het muntgeld?,telefoneren
57,video_4_condition_1_Waarom is Samual in Amsterdam?,zoekt zijn dochter opsemicolon hij wordt opa
58,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de overkant van het water
59,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan zijn dochter
60,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter
61,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,weet niet
62,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,weet niet
63,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.9270833333333336
64,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.96875
65,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?,banaan
66,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,Drenthe
67,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,in de zomer komen de dingen tot groei
68,video_3_condition_0_Hoe heet de hoofdrolspeler?,weet niet
69,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,de andere jongens treiteren hem en raken haar tegen haar wil aan
70,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,hij troost haar en geeft haar een kus
71,video_3_condition_0_Welke sport speelt het team in deze film?,korfbal
72,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,het hok zit dicht
73,video_3_condition_0_Welke kleur heeft de bal?,wit 
74,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,oranje
