,questions,answers
0,Participant ID,39
1,Age,
2,Gender,Female
3,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,0.14375
4,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.75625
5,video_1_condition_1_Wat is de naam van deze film?,SLASH
6,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,de eerste keer weet ik niet meercomma maar de tweede keer vindt hij het belangrijker om voor de baby te zorgencomma dus maakt het hem niet uit
7,video_1_condition_1_Hoe heet de pizzabezorger?,SLASH
8,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,zwart met een rode doos acgterop
9,video_1_condition_1_Welke kleur kleren heeft de baby?,grijs of donkerblauw met wit gestreept
10,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de doos waar je gewoonlijk pizzaapostrophes stopt om warm te  houden
11,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,zodat de anderen in het huis nietnhoren dat de baby huilt
12,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,
13,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,voor een ziekenhuis
14,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,ik dacht alleen mensen
15,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.9520833333333333
16,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9354166666666667
17,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
18,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze daar op school zitten en die jongen willen vragen om naar hem toe te komen
19,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
20,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,dat hij dan een wit speelgoedautootje krijgt
21,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,burgers en milkshakes eten waarbij de jongen de milkshake over de stoel gooit
22,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar een drive tru om eten te halen
23,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,vanille milkshake en een burger
24,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,volgens mij vader zoon
25,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,omdat de jongen een milkshake over de sotel gooit
26,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niks
27,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,0.8604166666666667
28,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.8020833333333336
29,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',danielle volgens mij ze was in ieder geval blond en aan het dansen
30,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,florian
31,video_5_condition_1_Waar komt Florian vandaan?,amsterdam
