,questions,answers
0,Participant ID,20
1,Age,
2,Gender,Female
3,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,0.19583333333333333
4,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.68125
5,video_1_condition_1_Wat is de naam van deze film?,Rachid
6,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,Nee
7,video_1_condition_1_Hoe heet de pizzabezorger?,Rachid
8,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,Rood
9,video_1_condition_1_Welke kleur kleren heeft de baby?,Blauw wit gestreept
10,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,In de bak voor pizzas op zn scooter
11,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,Omdat de baby huilt en hij niet wilt dat zijn familie doorheeft dat hij een baby heeft
12,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,pizzeria
13,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,ziekenhuis
14,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geiten
15,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.9791666666666664
16,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9333333333333333
17,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,Tomatensoep met extra veel kip
18,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",Fred
19,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,Dame blanche
20,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,Ze zegt dat het haar verjaardag is
21,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,Ze zijn broer en zus
22,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,Als een grote happy family
23,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,4
24,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,Die dementeert
