,questions,answers
0,Participant ID,18
1,Age,
2,Gender,Male
3,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,0.004166666666666667
4,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5979166666666667
5,video_4_condition_1_Wat is de naam van deze film?,weet niet
6,video_4_condition_1_Hoe komt Samual aan geld?,bedelen
7,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,tekening
8,video_4_condition_1_Wat doet Samual met het muntgeld?,telefoneren
9,video_4_condition_1_Waarom is Samual in Amsterdam?,zijn dochter bezoeken
10,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de andere kant vd zee
11,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan het meisje
12,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter
13,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,doet hij niet
14,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,nijntje
15,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.35625
16,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.04583333333333333
17,video_1_condition_0_Wat is de naam van deze film?, niet gezien
18,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
19,video_1_condition_0_Hoe heet de pizzabezorger?,righid
20,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
21,video_1_condition_0_Welke kleur kleren heeft de baby?,blauw
22,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de puzzakoffer
23,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat baby huilt
24,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,geen idee
25,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,in een kantoor
26,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,geiten
27,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,0.006250000000000118
28,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.91875
29,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?,soep
30,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",een fred
31,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blance
32,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,ze is jarig
33,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,broer en zus
34,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,happy family
35,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,2
36,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,dement
37,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,weet niet
38,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",personeelsuitjecomma maar was familie
39,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,1.0
40,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.8020833333333334
41,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',een meisje
42,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,geen idee
43,video_5_condition_0_Waar komt Florian vandaan?,amsterdam
44,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,geen idee
45,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,ze willen contact
46,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,uitverkocht
47,video_5_condition_0_Welk spel speelt de groep in deze film?,fles die aanwijst wie je miet zoenen
48,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,hij wil die jongen kusse
49,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,ja
50,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,groen
51,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,0.08958333333333333
52,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,-0.08333333333333333
53,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?, zwart
54,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,tom
55,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,tom
56,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,autootje
57,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,eten en drinken
58,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar mc
59,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,frites
60,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,vadere en zoon
61,video_0_condition_1_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,hij morst
62,video_0_condition_1_Wat zegt de chauffeur tegen de moeder van de jongen?,lul
63,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.5604166666666667
64,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,0.008333333333333333
65,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?, weet niwt
66,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,camping
67,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,weet niet
68,video_3_condition_0_Hoe heet de hoofdrolspeler?,fred
69,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,omdat ze dat meisje lastig vallen
70,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,hij troost
71,video_3_condition_0_Welke sport speelt het team in deze film?,korfbal
72,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,weet niet
73,video_3_condition_0_Welke kleur heeft de bal?,geel
74,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,groen
