,questions,answers
0,Participant ID,7
1,Age,
2,Gender,Female
3,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.8604166666666667
4,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.7625
5,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,    
6,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,Kennen jullie Tom en kunnen jullie bragen of hij hierheen komt
7,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
8,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,Een wit speelgoedautootje
9,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,De jongen mag zelf autorijden
10,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,Ze gaan naar de MacDonalds
11,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,Een vanillemilkshake en een hamburger
12,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,Vader en zoon
13,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,De jongen stoot de milkshake om
14,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,Niks
15,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,0.2625
16,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.027083333333333334
17,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?, Tomatensoep met extra kip
18,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",Aan Fred
19,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,Niet gespecificeerd
20,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,Ze is jarig
21,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,Ze zijn broer en zus
22,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,Als een grote familie
23,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,twee
24,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,Geen idee
25,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,Geen idee
26,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",Collegas en geen idee
27,video_4_condition_0_In hoeverre was je aandacht gericht op de film?,0.25833333333333336
28,video_4_condition_0_In hoeverre was je aandacht gericht op de taak?,0.20208333333333334
29,video_4_condition_0_Wat is de naam van deze film?,
30,video_4_condition_0_Hoe komt Samual aan geld?,Bedelen
31,video_4_condition_0_Wat staat er op het briefje dat Samual bij zich had?,Geen idee
32,video_4_condition_0_Wat doet Samual met het muntgeld?,Naar zijn dochter bellen
33,video_4_condition_0_Waarom is Samual in Amsterdam?,Daar woont zijn dochter
34,video_4_condition_0_Waar zijn volgens Samual de dromen van de toekomst?,Aan de andere kant van de zee
35,video_4_condition_0_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,Een meisje uit een kinderdagverblijf
36,video_4_condition_0_Aan wie doet het meisje in het kinderdagverblijf samual denken?,Zijn dochter
37,video_4_condition_0_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,Hij negeert hem
38,video_4_condition_0_Wat staat er op het raam van het kinderdagverblijf geschilderd?,Geen idee
39,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,0.16458333333333333
40,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.3104166666666667
41,video_1_condition_1_Wat is de naam van deze film?,Geen idee
42,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,Nee
43,video_1_condition_1_Hoe heet de pizzabezorger?,Abdul
44,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,Roof
45,video_1_condition_1_Welke kleur kleren heeft de baby?,Lichtblauw
46,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,In de koffer voor de pizzas
47,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,Om het geluid van de huilende baby te verhullen
48,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,Geen idee
49,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,Het ziekenhuis
50,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,Geen idee
51,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.7770833333333333
52,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.5875
53,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?,Geen idee
54,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,Drenthe
55,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,Dat meisjes knapper worden na de zomervakantie
56,video_3_condition_0_Hoe heet de hoofdrolspeler?,Daan
57,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,De andere jongens vallen een meisje lastig
58,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,Hij probeert haar eerst te troosten maar later te zoenen
59,video_3_condition_0_Welke sport speelt het team in deze film?,Korfbal
60,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,Is het ballenhok dicht
61,video_3_condition_0_Welke kleur heeft de bal?,Geel
62,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,Roze
63,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,0.34375
64,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.0625
65,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',
66,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,De jongen uit Amsterdam
67,video_5_condition_1_Waar komt Florian vandaan?,Amsterdam
68,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,flikker
69,video_5_condition_1_Wat is de reden dat Bram en Florian naar buiten gaan?,het is binnen te druk
70,video_5_condition_1_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,uitverkocht
71,video_5_condition_1_Welk spel speelt de groep in deze film?,flesje draaien
72,video_5_condition_1_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,omdat hij met Florain wil zoenen
73,video_5_condition_1_Komt het flesje van Bram uit bij Florian?,Nee
74,video_5_condition_1_Wat is de kleur van het etiket op het flesje?,Groen
