,questions,answers
0,Participant ID,35
1,Age,
2,Gender,Male
3,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,0.5395833333333333
4,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.9541666666666667
5,video_4_condition_1_Wat is de naam van deze film?,Geen idee
6,video_4_condition_1_Hoe komt Samual aan geld?,Gewisseld bij het wisselkantoor
7,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,Niet gezien
8,video_4_condition_1_Wat doet Samual met het muntgeld?,Niet gezien
9,video_4_condition_1_Waarom is Samual in Amsterdam?,Zijn dochter gaat bevallen
10,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,Aan de andere kant van de zee
11,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,Aan zijn dochter
12,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,Aan zijn dochter
13,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,Hij schud zijn hoofd en legt het geld terug
14,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,Geen idee
15,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.9083333333333333
16,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.71875
17,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',Denise
18,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,Florian
19,video_5_condition_0_Waar komt Florian vandaan?,Amsterdam
20,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,Flikker
21,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,Florian houdt niet van de drukte en Bram gaat er achteraan
22,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,Er zijn geen kaartjes meer
23,video_5_condition_0_Welk spel speelt de groep in deze film?,Flesje draaien
24,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,Florian gaat weg en hij pakt zijn laatste kans
25,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,Nee
26,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,Groen
27,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,-0.125
28,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.9041666666666667
29,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?,Zwart
30,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,Of ze tom kennen en hem willen roepen
31,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
32,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,Dat hij het autootje mag hebben
33,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,Tom mag proberen te rijden
34,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,Gaan eten halen bij de Burger King
35,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,Happy Meal
36,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,Vader en zoon
37,video_0_condition_1_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,Tom gooide de koffie om over de bekleding van de auto
38,video_0_condition_1_Wat zegt de chauffeur tegen de moeder van de jongen?,Niks
39,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.8916666666666667
40,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.8708333333333333
41,video_1_condition_0_Wat is de naam van deze film?,El Oussabbi
42,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,Nee
43,video_1_condition_0_Hoe heet de pizzabezorger?,Rachid
44,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,Rood
45,video_1_condition_0_Welke kleur kleren heeft de baby?,Blauw
46,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,In de bak van zijn pizza scooter
47,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby gaat huilen
48,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,Weet ik niet
49,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,Het ziekenhuis
50,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,Geiten
51,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,0.24791666666666667
52,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.8875
53,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,Bananen
54,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,Drenthe
55,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,Dat meisjes er in de zomervakantie beter uit gaan zien
56,video_3_condition_1_Hoe heet de hoofdrolspeler?,Daan
57,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,Omdat de andere jongens het meisje lastig vallen
58,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,Hij troost haar eerst maar geeft haar daarna een kus
59,video_3_condition_1_Welke sport speelt het team in deze film?,Korfbal
60,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,Niet gezien
61,video_3_condition_1_Welke kleur heeft de bal?,Geel
62,video_3_condition_1_Welke kleur is het shirt dat de gezette jongen draagt?,Oranje
63,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,1.0
64,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.8541666666666666
65,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,Soep met extra veel kip
66,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",Fred
67,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,Dame Blanche
