,questions,answers
0,Participant ID,29
1,Age,
2,Gender,Male
3,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.68125
4,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.8291666666666667
5,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,soep
6,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",aan Fred
7,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche
8,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,ze zegt jarig te zijn
9,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,broer en zus
10,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,one happy family
11,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,2
12,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,geen idee
13,video_2_condition_0_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,vergeten
14,"video_2_condition_0_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",Ict bedrijfsuitjecomma 
15,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,-0.13958333333333334
16,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.34375
17,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,gee idee
18,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,drnthe
19,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,volgroeien in de vakantie
20,video_3_condition_1_Hoe heet de hoofdrolspeler?,daan
21,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,meisje wordt belaagd
22,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,hij hust haar
23,video_3_condition_1_Welke sport speelt het team in deze film?,korfbal
24,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,geen idee
25,video_3_condition_1_Welke kleur heeft de bal?,blauwSLASH
26,video_3_condition_1_Welke kleur is het shirt dat de gezette jongen draagt?,geelgrauw
27,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.70625
28,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.6270833333333333
29,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',danielle
30,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,floris
31,video_5_condition_0_Waar komt Florian vandaan?,amsterdam
32,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,homo
33,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,frisse lucht
34,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,geen karten meer
35,video_5_condition_0_Welk spel speelt de groep in deze film?,kusje geven
36,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,hij wil Florian kussen
37,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,nee
38,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,rood
39,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.4166666666666668
40,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5020833333333333
41,video_1_condition_1_Wat is de naam van deze film?,geen idee
42,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,neecomma hij vloekt
43,video_1_condition_1_Hoe heet de pizzabezorger?,rachid
44,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
45,video_1_condition_1_Welke kleur kleren heeft de baby?,blauwwit
46,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de pizzabox
47,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,kindje huilt
48,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,geen idee
49,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,in een metrostation
50,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geen idee
51,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.7916666666666664
52,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.8770833333333333
53,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,grijszwart
54,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,zitten jullie hoer op schoolSLASH
55,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,tom
56,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,krijgt een miniatuur auto
57,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,hamburgers eten
58,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,schoonmaken
59,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,hamburger en milkshake
60,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader en zoon
61,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,morstte milkshake
62,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
63,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,-0.6854166666666667
64,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5583333333333333
65,video_4_condition_1_Wat is de naam van deze film?,geen idee
66,video_4_condition_1_Hoe komt Samual aan geld?,bedelen
67,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,naam dochter
68,video_4_condition_1_Wat doet Samual met het muntgeld?,omwisselen voor briefjes
69,video_4_condition_1_Waarom is Samual in Amsterdam?,dochter zoeken
70,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de overzijde 
71,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,klein meisje
72,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan dochter
73,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,schudt zijn hoofd en kijkt weg
74,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,poppetjes
