,questions,answers
0,Participant ID,33
1,Age,
2,Gender,Male
3,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.8729166666666667
4,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9604166666666667
5,video_1_condition_0_Wat is de naam van deze film?,rightSLASH
6,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
7,video_1_condition_0_Hoe heet de pizzabezorger?,Rachid
8,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
9,video_1_condition_0_Welke kleur kleren heeft de baby?,blauw
10,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de pizzabak
11,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby huilt
12,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,SLASH
13,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,ziekenhuis
14,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,SLASH
15,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,0.28541666666666665
16,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.45625
17,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',SLASH
18,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,SLASH
19,video_5_condition_1_Waar komt Florian vandaan?,amsterdam
20,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,Flikker
21,video_5_condition_1_Wat is de reden dat Bram en Florian naar buiten gaan?,Rust
22,video_5_condition_1_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,Uitverkocht
23,video_5_condition_1_Welk spel speelt de groep in deze film?,flesjedraaien
24,video_5_condition_1_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,hijis later erbij gekomen
25,video_5_condition_1_Komt het flesje van Bram uit bij Florian?,nee
26,video_5_condition_1_Wat is de kleur van het etiket op het flesje?,zwart
27,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.9479166666666664
28,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9479166666666666
29,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,tomatensoep
30,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",fred
31,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dameblanche
32,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,ze is jarig
33,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,ze zijn broer en zus
34,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,happy familie
35,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,2
36,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,SLASH
37,video_2_condition_0_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,SLASH
38,"video_2_condition_0_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",studenten
39,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,0.38333333333333336
40,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.675
41,video_4_condition_1_Wat is de naam van deze film?,SLASH
42,video_4_condition_1_Hoe komt Samual aan geld?,bedelen bij zijn slaap
43,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,tel nummer 020minus
44,video_4_condition_1_Wat doet Samual met het muntgeld?,belt
45,video_4_condition_1_Waarom is Samual in Amsterdam?,dochter bezoeken diezwanger is
46,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,SLASH 
47,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan het kleine meisje
48,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,klein dochter
49,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,shud zijn hoogd
50,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,nijntje
51,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.99375
52,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9729166666666667
53,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
54,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze Tom kennen en of ze vragen of hij komt
55,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
56,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,Aitotje
57,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,eten
58,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,eten
59,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,happymeal
60,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader zoon
61,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,jongen morst
62,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,lul
63,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,0.7291666666666664
64,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.6208333333333333
65,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,SLASH
66,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,drente
67,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,dat de meisjes mooier worden
68,video_3_condition_1_Hoe heet de hoofdrolspeler?,SLASH
69,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,zijn meisje wordt gepest
70,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,zoent
71,video_3_condition_1_Welke sport speelt het team in deze film?,korfbal
72,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,SLASH
73,video_3_condition_1_Welke kleur heeft de bal?,wit
