,questions,answers
0,Participant ID,34
1,Age,
2,Gender,Female
3,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.8375
4,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.32083333333333336
5,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',Denise 
6,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,Florian
7,video_5_condition_0_Waar komt Florian vandaan?,Amsterdam
8,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,Biertje
9,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,Te druk binnen
10,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,Geen kaartje meer te koop doordat het uitverkocht is
11,video_5_condition_0_Welk spel speelt de groep in deze film?,Bierflesje draaien
12,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,Hij hoopt dat het flesjerichting Florian draait zodat hij een reden heeft om hem te kussen
13,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,nee
14,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,bruin
15,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,0.010416666666666786
16,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.3104166666666667
17,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?,Geen idee
18,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",Haar ex
19,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,Dame blanche
20,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,Omdat ze jarig is
21,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,Zijn broer en zus
22,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,Als een grote gelukkige familie
23,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,10
24,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,ziek
25,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,Geen idee
26,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",Van school maar roeiclub bestond zoveel jaar
