,questions,answers
0,Participant ID,8
1,Age,
2,Gender,Female
3,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,0.125
4,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.90625
5,video_4_condition_1_Wat is de naam van deze film?,     
6,video_4_condition_1_Hoe komt Samual aan geld?,weet ik niet
7,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,weet ik niet
8,video_4_condition_1_Wat doet Samual met het muntgeld?,weet ik niet
9,video_4_condition_1_Waarom is Samual in Amsterdam?,om zijn dochter en kleindochter te zien
10,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de overkant van de oceaan
11,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan het meisje van de creche aan de overkant
12,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,zijn eigen dochter
13,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,weet ik niet
14,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,weet ik niet
15,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.9791666666666664
16,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9770833333333333
17,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
18,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze zijn zoontje Tom kennen en hem willen roepen zodat Tom naar hem toe komt
19,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
20,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,Dat Tom de kleine witte auto mag houden
21,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,De chauffeur wilt Tom wat vertellen maar komt daar niet aan toeslash Tom schopt perongeluk de beker drinken om
22,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar de Mc Drive
23,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,een hamburger en cola
24,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader en zoon
25,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,omdat de jongen een beker drinken omtrapt
26,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
27,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,0.08958333333333333
28,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.89375
29,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,weet ik niet
30,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,majorka
31,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,dat meisjes mooier worden in de zomervakantie
32,video_3_condition_1_Hoe heet de hoofdrolspeler?,weet ik niet meer
33,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,omdat alle jongens te handtastelijk zijn aan het meisje waar hij verliefd op is
34,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,hij probeert het meisje te troosten en vraagt of het wel met haar gaat
35,video_3_condition_1_Welke sport speelt het team in deze film?,korfbal
36,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,weet ik niet
37,video_3_condition_1_Welke kleur heeft de bal?,weet ik niet
