,questions,answers
0,Participant ID,13
1,Age,
2,Gender,Male
3,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.7854166666666667
4,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.86875
5,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
6,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,zitten jullie hier op school
7,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
8,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,speelgoed autootje
9,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,junkfood eten
10,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar een drive in
11,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,iig een milkshake
12,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,zoon vader
13,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,hij stoot zijn drinken om
14,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
15,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,-0.5479166666666667
16,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.6458333333333336
17,video_4_condition_1_Wat is de naam van deze film?,weet ik niet
18,video_4_condition_1_Hoe komt Samual aan geld?,geen idee 
19,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,telefoonnummer
20,video_4_condition_1_Wat doet Samual met het muntgeld?,bellen
21,video_4_condition_1_Waarom is Samual in Amsterdam?,voor zijn dochter die zwanger is
22,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,de toekomst ligt aan de andere kant van het water
23,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,meisje aan de overkant van de gevangenis
24,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,dochter
25,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,afwijzend gebaar
26,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,geen idee
27,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.6625
28,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.73125
