,questions,answers
0,Participant ID,32
1,Age,
2,Gender,Male
3,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.9145833333333333
4,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,0.9625
5,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
6,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,Of ze daar op school zitten en daarna of ze Tom naar zn auto kunnen halen
7,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
8,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,Dat hij de witte kleine auto krijgt
9,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,Mcdonalds eten en het drinken in de auto omver stoten
10,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,Naar de mcdonalds gaan
11,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,Happymeal
12,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,Vader zoon
13,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,Hij heeft het drinken omgestoten daardat ie raar deed met zn benen
14,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,Niks vgm
15,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.30416666666666664
16,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5416666666666664
17,video_1_condition_1_Wat is de naam van deze film?,Geen idee
18,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,Nee
19,video_1_condition_1_Hoe heet de pizzabezorger?,Machid ofzo
20,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,zwart met rode doos
21,video_1_condition_1_Welke kleur kleren heeft de baby?,Wit denk ik
22,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,In de pizzadoos
23,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,Zodat zn huisgenoten het gehuil niet horen
24,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,Geen idee
25,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,Ziekenhuis ofzo
26,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,Lammetje
27,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.9354166666666667
28,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9291666666666667
29,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,Kippensoep met extra veel kip
