,questions,answers
0,Participant ID,28
1,Age,
2,Gender,Male
3,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,-0.20625
4,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.76875
5,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',daphne
6,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,vloer
7,video_5_condition_1_Waar komt Florian vandaan?,amsterdam
8,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,geen idee
9,video_5_condition_1_Wat is de reden dat Bram en Florian naar buiten gaan?,te druk binnen
10,video_5_condition_1_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,kaartjes uitverkocht
11,video_5_condition_1_Welk spel speelt de groep in deze film?,zoenen als bierflesje op jou gericht is
12,video_5_condition_1_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,omdat hij achterliep
13,video_5_condition_1_Komt het flesje van Bram uit bij Florian?,nee
14,video_5_condition_1_Wat is de kleur van het etiket op het flesje?,heineken dus blauw denk ik
15,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.8583333333333333
16,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.6104166666666667
17,video_1_condition_0_Wat is de naam van deze film?,weet ik niet
18,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
19,video_1_condition_0_Hoe heet de pizzabezorger?,rachid
20,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,wit
21,video_1_condition_0_Welke kleur kleren heeft de baby?,blauw
22,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de bak waar de pizza in gaat
23,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby gaat huilen
24,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,weet ik niet
25,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,ziekenhuis
26,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,kleinere boerderijdieren zoals geiten en schapen
27,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,-0.26458333333333334
28,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5645833333333333
29,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?,zwart
30,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze willen komen en daarna om tom te halen
31,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,tom
32,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,een speelgoedauto
33,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,fastfood eten
34,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,terug naar huis
35,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,hamburger en vanille milkshake
36,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,vader en zoon
37,video_0_condition_1_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,morst vanille milkshake
38,video_0_condition_1_Wat zegt de chauffeur tegen de moeder van de jongen?,lul
39,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.8958333333333336
40,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.94375
41,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?,weet ik niet
42,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,drenthe
43,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,meisjes mooier worden in de zomer
44,video_3_condition_0_Hoe heet de hoofdrolspeler?,daan
45,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,omdat ze britt lastigvallen
46,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,troosten en dan kussen
47,video_3_condition_0_Welke sport speelt het team in deze film?,korfbal
48,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,weet ik niet
49,video_3_condition_0_Welke kleur heeft de bal?,blauw met geel
50,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,rood oranje
51,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,0.5291666666666667
52,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.53125
53,video_4_condition_1_Wat is de naam van deze film?,samuel
54,video_4_condition_1_Hoe komt Samual aan geld?,weet ik niet zeker denk bedelen
55,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,telefoonnummer
56,video_4_condition_1_Wat doet Samual met het muntgeld?,probeert te bellen
57,video_4_condition_1_Waarom is Samual in Amsterdam?,omdat zijn dochter daar woont en hij wordt opa
58,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,weet ik niet
59,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan een klein meisje
60,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,zijn dochter denk ik
61,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,met gebaren hem beetje wegwuiven
62,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,weet ik niet zeker denk tekeningen geschilderd
63,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,1.0
64,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-1.0
65,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,tomatensoep
66,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",fred
67,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche
68,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,ze is jarig
69,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,broer en zus
70,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,als een happy family die de verjaardag van oma vieren
71,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,5 of 6
72,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,die had dementie
73,video_2_condition_0_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,robbert ofzo
74,"video_2_condition_0_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",van werk een IT bedrijf die een bedrijfsuitje hadden maar ze kenden elkaar van de schaatsclub die een jubileum hadden
