,questions,answers
0,Participant ID,36
1,Age,
2,Gender,Female
3,video_4_condition_0_In hoeverre was je aandacht gericht op de film?,0.775
4,video_4_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9104166666666667
5,video_4_condition_0_Wat is de naam van deze film?, samual
6,video_4_condition_0_Hoe komt Samual aan geld?,geen idee
7,video_4_condition_0_Wat staat er op het briefje dat Samual bij zich had?,telefoonnummer in Amsterdam
8,video_4_condition_0_Wat doet Samual met het muntgeld?,gebruikt hij om te bellen
9,video_4_condition_0_Waarom is Samual in Amsterdam?,daar woont zijn dochter die zwanger is
10,video_4_condition_0_Waar zijn volgens Samual de dromen van de toekomst?,aan de andere kant van de zee
11,video_4_condition_0_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,het meisje uit het kinderdagverblijf
12,video_4_condition_0_Aan wie doet het meisje in het kinderdagverblijf samual denken?,zijn dochter toen ze klein was
13,video_4_condition_0_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,hij schudt nee en gaat verder waar hij mee bezig was
14,video_4_condition_0_Wat staat er op het raam van het kinderdagverblijf geschilderd?,een konijn
15,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,0.3958333333333333
16,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.3229166666666667
17,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?, chinese tomatensoep met extra veel kip
18,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",fred
19,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche
20,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,ze is jarig
21,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,ze zijn broer en zus
22,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,als een familie die de verjaardag van oma vieren
23,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,geen idee
24,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,die was dementerend
25,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,geen idee
26,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",ze dacht een bedrijfsuitje maar was een schaatsclub
27,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.875
28,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9916666666666667
29,video_1_condition_0_Wat is de naam van deze film?, weet ik niet meer
30,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
31,video_1_condition_0_Hoe heet de pizzabezorger?,rachid
32,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
