,questions,answers
0,Participant ID,25
1,Age,
2,Gender,Female
3,video_4_condition_0_In hoeverre was je aandacht gericht op de film?,0.6583333333333333
4,video_4_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.6416666666666667
5,video_4_condition_0_Wat is de naam van deze film?, Sanet
6,video_4_condition_0_Hoe komt Samual aan geld?,bedelen
7,video_4_condition_0_Wat staat er op het briefje dat Samual bij zich had?,een tekening van een stadje aan de andere kant van de zee
8,video_4_condition_0_Wat doet Samual met het muntgeld?,bellen
9,video_4_condition_0_Waarom is Samual in Amsterdam?,hij komt zijn dochter opzoeken die zwanger isperiod
10,video_4_condition_0_Waar zijn volgens Samual de dromen van de toekomst?,dat zijn dochter naar de overkant van de zee kan gaanperiod
11,video_4_condition_0_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,een meisje
12,video_4_condition_0_Aan wie doet het meisje in het kinderdagverblijf samual denken?,zijn eigen dochter vroegerperiod
13,video_4_condition_0_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,hij negeert hem
14,video_4_condition_0_Wat staat er op het raam van het kinderdagverblijf geschilderd?,poppetjes
15,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,0.1875
16,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.10416666666666667
17,video_1_condition_1_Wat is de naam van deze film?,slash
18,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,nee
19,video_1_condition_1_Hoe heet de pizzabezorger?,Rachid
20,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
21,video_1_condition_1_Welke kleur kleren heeft de baby?,blauw en wit
22,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de pizzakoffer
23,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,de baby huiltcomma zodat niemand de baby hoort
24,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,slash
25,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,metrostation
26,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geitjes
27,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.7229166666666667
28,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.875
29,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',Denise
30,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,florian
31,video_5_condition_0_Waar komt Florian vandaan?,neef van vriend bram
32,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,homo
33,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,zoeken toenadering
34,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,uitverkocht
35,video_5_condition_0_Welk spel speelt de groep in deze film?,flesje draaien
36,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,hij hoopt dat de fles bij florian komt
37,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,nee
