,questions,answers
0,Participant ID,14
1,Age,
2,Gender,Female
3,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,-0.0125
4,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.004166666666666667
5,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?, geen idee
6,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,Mallorca
7,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,gen idee
8,video_3_condition_1_Hoe heet de hoofdrolspeler?,geen idee
9,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,geen ideee
10,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,troosten
11,video_3_condition_1_Welke sport speelt het team in deze film?,voetbal
12,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,geen idee
13,video_3_condition_1_Welke kleur heeft de bal?,wit
14,video_3_condition_1_Welke kleur is het shirt dat de gezette jongen draagt?,oranje
15,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.2916666666666667
16,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.16875
17,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?, geen idee
18,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze Tom willen roepen
19,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
20,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,een speelautotje
21,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,afhaalmaaltijd opeten
22,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar een soort McDonald
23,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,milkshake en ahppy meal
24,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader minus zoon
25,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,omdat hij een milkshake omgooit 
26,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
27,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,-0.004166666666666667
28,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.10625
29,video_4_condition_1_Wat is de naam van deze film?,geen idee
30,video_4_condition_1_Hoe komt Samual aan geld?,bedelen
31,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,telefoonnummer dochter
32,video_4_condition_1_Wat doet Samual met het muntgeld?,bellen
33,video_4_condition_1_Waarom is Samual in Amsterdam?,proberen in contact te komen met zijn dochter
34,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de andere kant van de zee
35,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan heeit meisje uit het kdv
36,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter
37,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,afwijzend gebaar  maken
38,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,nijntje
39,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.17291666666666666
40,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.14375
41,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?', geen idee
42,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,Florian
43,video_5_condition_0_Waar komt Florian vandaan?,Amsterdam
44,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,geen idee
45,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,elkaar ontmoeten
46,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,geen tickets meer
47,video_5_condition_0_Welk spel speelt de groep in deze film?,weet niet hoe je dat noemt
48,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,in de hoop dat feslje richting Florian draait
49,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,neen
50,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,blauw
51,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,-0.10625
52,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.13541666666666666
53,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?, soep met kip
54,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",Fred
55,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blance
56,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,is jarig
57,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,zijn broer en zus
58,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,als een happy family met oma
59,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,geen idee
60,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,geen idee
61,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,geen idee
62,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",personeelsuitje
63,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.20208333333333334
64,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.21041666666666667
65,video_1_condition_0_Wat is de naam van deze film?, geen idee
66,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,neen
67,video_1_condition_0_Hoe heet de pizzabezorger?,Rachid
68,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,geen idee
69,video_1_condition_0_Welke kleur kleren heeft de baby?,blauw gestreept
70,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,geen idee
71,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,zodat familieleden huilen baby niet horen
72,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,geen idee
73,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,bij ziekenhuis
74,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,geiten
