,questions,answers
0,Participant ID,30
1,Age,
2,Gender,Male
3,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.3145833333333333
4,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,-0.26875
5,video_1_condition_1_Wat is de naam van deze film?,geen idee
6,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,nee hij heeft hem niet aangenomen
7,video_1_condition_1_Hoe heet de pizzabezorger?,Rachid
8,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,Oranje
9,video_1_condition_1_Welke kleur kleren heeft de baby?,Blauw met wit
10,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,Achterop de scooter in de pizza semicolonleftrightdeleteleft
11,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,de baby begint te huilen en zijn familie mag het niet horen
12,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,geen idee
13,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,ziekenhuis
14,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,zwanen 
15,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.9958333333333333
16,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-1.0
17,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,rightzwart metallic
18,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze even kunnen komen
19,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
20,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,speelgoed auto
21,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,eten hun fastfood op
22,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,halen ze eten bij de mc donalds
23,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,big mac en een happy meal
24,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader en zoon
25,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,er valt een milkshake om in de autocomma
26,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niks
27,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,-0.43125
28,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.8916666666666667
29,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',denise
30,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,florian
31,video_5_condition_1_Waar komt Florian vandaan?,amsterdam
32,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,geen idee
