,questions,answers
0,Participant ID,4
1,Age,
2,Gender,Female
3,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,-0.5270833333333333
4,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.44375
5,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?', Faye
6,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,neef van
7,video_5_condition_1_Waar komt Florian vandaan?,Amsterdam
8,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,homo
9,video_5_condition_1_Wat is de reden dat Bram en Florian naar buiten gaan?,rustcomma binnen was het te druk
10,video_5_condition_1_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,was uitverkocht
11,video_5_condition_1_Welk spel speelt de groep in deze film?,zoen spel
12,video_5_condition_1_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,om de groep te laten weten dat hij op jongens valtperiod
13,video_5_condition_1_Komt het flesje van Bram uit bij Florian?,nee
14,video_5_condition_1_Wat is de kleur van het etiket op het flesje?,zwart
15,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.6
16,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.49166666666666664
17,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?, tomatensoep met extra kip
18,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",fred toupet
19,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche
20,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,omdat ze jarig is
21,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,omdat ze broer en zus zijn
22,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,als een happy familie met omacomma 
23,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,num_4
24,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,verdrietig
25,video_2_condition_0_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,jeroen
26,"video_2_condition_0_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",personeelsuitje vriendinkring
27,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,0.42291666666666666
28,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.46875
29,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?, zwart
30,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze die jongen daar kennen
31,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
32,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,dat hij een autootje krijgt
33,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,jongetje mag auto rijden
34,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,eten bestellen bij een fastketen
35,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,hamburger en mikshake
36,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,zoontje
37,video_0_condition_1_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,omdat er miklshake per ongeluk omviel
38,video_0_condition_1_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
39,video_4_condition_0_In hoeverre was je aandacht gericht op de film?,0.7770833333333333
40,video_4_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.5520833333333334
41,video_4_condition_0_Wat is de naam van deze film?, Samuel
42,video_4_condition_0_Hoe komt Samual aan geld?,werken in de haven
43,video_4_condition_0_Wat staat er op het briefje dat Samual bij zich had?,telefoonnummer
44,video_4_condition_0_Wat doet Samual met het muntgeld?,wilde bellen naar zijn dat nummer wellicht van zijn dochter oid
45,video_4_condition_0_Waarom is Samual in Amsterdam?,om zijn dochter op te zoeken en bezoeken
46,video_4_condition_0_Waar zijn volgens Samual de dromen van de toekomst?,aan de overkant van de zee
47,video_4_condition_0_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,meisje van het dagverblijf
48,video_4_condition_0_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter
49,video_4_condition_0_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,door nee te schudden
50,video_4_condition_0_Wat staat er op het raam van het kinderdagverblijf geschilderd?,nijntje en de zon
51,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,0.5229166666666667
52,video_1_condition_1_In hoeverre was je aandacht gericht op de taak?,0.11041666666666666
53,video_1_condition_1_Wat is de naam van deze film?, Pizzakoerier
54,video_1_condition_1_Is de pizzabezorger blij met zijn fooi?,nee
55,video_1_condition_1_Hoe heet de pizzabezorger?,rachid
56,video_1_condition_1_Op wat voor kleur scooter rijdt de pizzabezorger?,zwart
57,video_1_condition_1_Welke kleur kleren heeft de baby?,wit blauw gestreept
58,video_1_condition_1_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de koffer van de scooter
59,video_1_condition_1_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby begon te huilen
60,video_1_condition_1_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,Italia
61,video_1_condition_1_Waar geeft de pizzabezorger de baby af?,ziekenhuis
62,video_1_condition_1_Welke dieren bekeken de pizzabezorger en baby?,geiten
63,video_3_condition_0_In hoeverre was je aandacht gericht op de film?,0.61875
64,video_3_condition_0_In hoeverre was je aandacht gericht op de taak?,0.2833333333333333
65,video_3_condition_0_Wat voor fruit ligt er in de kleedkamer?,banaan
66,video_3_condition_0_Waar is de hoofdpersoon op vakantie geweest?,drenthe
67,video_3_condition_0_Wat is volgens de hoofdrolspeler een wet van de natuur?,groei van de borsten van meiden
68,video_3_condition_0_Hoe heet de hoofdrolspeler?,Daan
69,video_3_condition_0_Waarom wordt de hoofdrolspeler boos en agressief?,hij vond het onterecht hoe Britt door de jongens werd behandeld op het veld
70,video_3_condition_0_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,troosten en snel een kus geven
71,video_3_condition_0_Welke sport speelt het team in deze film?,handbal
72,video_3_condition_0_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,kleedkamer dicht
73,video_3_condition_0_Welke kleur heeft de bal?,geel
74,video_3_condition_0_Welke kleur is het shirt dat de gezette jongen draagt?,wit
