,questions,answers
0,Participant ID,17
1,Age,
2,Gender,Male
3,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.6875
4,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.32083333333333336
5,video_1_condition_0_Wat is de naam van deze film?,weet ik niet
6,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
7,video_1_condition_0_Hoe heet de pizzabezorger?,rachid
8,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
9,video_1_condition_0_Welke kleur kleren heeft de baby?,bruin wit gestreept
10,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in de box achterop zijn brommer
11,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby ging huilen
12,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,weet ik niet meer
13,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,bij het ziekenhuis
14,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,geiten
15,video_5_condition_1_In hoeverre was je aandacht gericht op de film?,-0.1875
16,video_5_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5770833333333333
17,video_5_condition_1_Wie is 'het lekkerste wijf op het feest?',
18,video_5_condition_1_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,geen idee
19,video_5_condition_1_Waar komt Florian vandaan?,amsterdam
20,video_5_condition_1_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,geen idee
21,video_5_condition_1_Wat is de reden dat Bram en Florian naar buiten gaan?,drukke muziek
22,video_5_condition_1_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,geen idee
23,video_5_condition_1_Welk spel speelt de groep in deze film?,fles draaien
24,video_5_condition_1_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,om gemiste momenten in te halen
25,video_5_condition_1_Komt het flesje van Bram uit bij Florian?,ik denk het wel
26,video_5_condition_1_Wat is de kleur van het etiket op het flesje?,zwart met witte letters
27,video_4_condition_0_In hoeverre was je aandacht gericht op de film?,0.925
28,video_4_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9625
29,video_4_condition_0_Wat is de naam van deze film?,
30,video_4_condition_0_Hoe komt Samual aan geld?,dat hadden voorbijgangers op zijn rugzak gestrooid
31,video_4_condition_0_Wat staat er op het briefje dat Samual bij zich had?,een telefoonnummer en een tekening
32,video_4_condition_0_Wat doet Samual met het muntgeld?,hij wil gaan bellen
33,video_4_condition_0_Waarom is Samual in Amsterdam?,om zijn dochtercomma die een baby krijgt  te bezoeken
34,video_4_condition_0_Waar zijn volgens Samual de dromen van de toekomst?,aan de andere kant van de zee of oceaan
35,video_4_condition_0_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan het meisje van de kinderopvang
36,video_4_condition_0_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter toen ze klein was
37,video_4_condition_0_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,met een wegwerp gebaar en om het geld niet aan te nemen
38,video_4_condition_0_Wat staat er op het raam van het kinderdagverblijf geschilderd?,een soort van nijntje
39,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,-0.8166666666666667
40,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5229166666666667
41,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?,soep
