,questions,answers
0,Participant ID,16
1,Age,
2,Gender,Male
3,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,-0.23958333333333334
4,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.7375
5,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,geen idee geen fruit gezien
6,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,camping drenthe
7,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,dat meisjes mooier worden
8,video_3_condition_1_Hoe heet de hoofdrolspeler?,geen idee
9,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,omdat ze aan zijn meisje zaten
10,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,troosten en geeft kus
11,video_3_condition_1_Welke sport speelt het team in deze film?,kordbal
12,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,geen idee
13,video_3_condition_1_Welke kleur heeft de bal?,blauw geel
14,video_3_condition_1_Welke kleur is het shirt dat de gezette jongen draagt?,geen idee
15,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,1.0
16,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-1.0
17,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,zwart
18,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze tom willen halen
19,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,tom
20,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,wit speelgoed autotje
21,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,laat kin rijden
22,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,naar de mac
23,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,hamburg happy meal
24,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader zoon
25,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,om dat zoon milkshake laat vallen
26,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,niks moede  zei lul
27,video_1_condition_1_In hoeverre was je aandacht gericht op de film?,-0.3458333333333333
