,questions,answers
0,Participant ID,38
1,Age,
2,Gender,Male
3,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.6541666666666667
4,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.85625
5,video_1_condition_0_Wat is de naam van deze film?,el armadillo
6,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
7,video_1_condition_0_Hoe heet de pizzabezorger?,rachid
8,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
9,video_1_condition_0_Welke kleur kleren heeft de baby?,blauw wit
10,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in zijn scooter
11,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat de baby gaat huilen en hij wil niet dat zijn familie dat hort
12,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,periodperiodperiod
13,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,bij het ziekenhuis
14,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,schapen
15,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,-0.44166666666666665
16,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.4041666666666667
17,video_4_condition_1_Wat is de naam van deze film?,samual
18,video_4_condition_1_Hoe komt Samual aan geld?,in de hav
19,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,papa
20,video_4_condition_1_Wat doet Samual met het muntgeld?,geen idee
21,video_4_condition_1_Waarom is Samual in Amsterdam?,op zoek naar zijn dochter
22,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de overkant van de zee
23,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan het meisje aan de andere kant van het hek
24,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,zijn dochter
25,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,geeft het geld terug
